Reported,TimeReported,Location,ReportNum,Occurred,TimeOccurred,IncidentType,Summary,GROUP1,Weekdays
1/17/2015,1:42 AM,ELISABETH VON KLEINSMID MEMORIAL RESIDENCE HALL,1500183,1/16/2015,1:43 AM,SERVICE,A non-USC female was transported to a local hospital for medical treatment after sustaining burns to her face.,ADMIN/SERVICE/COMPLAINT,Saturday
1/17/2015,5:14 AM,UNIVERSITY RELIGIOUS CENTER,1500184,1/16/2015,5:13 AM,BURGLARY-MOTOR VEHICLE,A suspect removed the vehicle battery and miscellaneous clothing.,THEFT,Saturday
1/17/2015,12:09 AM,JEFFERSON BL & HOPE ST,1500185,1/17/2015,12:09 AM,SUICIDE,A student was transported to a local hospital for medical treatment after an apparent attempt to harm himself with prescription medication.,PHYSICAL HARM,Sunday
1/17/2015,11:10 AM,OUTSIDE USC AREA,1500186,1/16/2015,12:09 AM,SERVICE,A staff member injured her knee and sought medical treatment on her own within the facility.,ADMIN/SERVICE/COMPLAINT,Saturday
1/17/2015,8:17 AM,KECK HOSPITAL OF USC,1500187,1/17/2015,11:05 AM,SERVICE,A student was transported to a local hospital for medical treatment after sustaining injuries to his knees and elbows.,ADMIN/SERVICE/COMPLAINT,Sunday
1/17/2015,3:35 PM,PARKING STRUCTURE A,1500188,1/17/2015,7:30 PM,DISORDERLY CONDUCT,A suspect was arrested and booked for prowling at the location.,ADMIN/SERVICE/COMPLAINT,Sunday
1/18/2015,8:30 PM,UNIVERSITY PARKING CENTER,1500189,1/17/2015,5:30 PM,ALCOHOL,A student was transported to a local hospital for medical treatment following an alcohol overdose.,SUBSTANCE ABUSE,Sunday
1/18/2015,12:21 AM,CENTURY APARTMENTS,1500191,1/17/2015,9:00 PM,TRAFFIC,A student was struck by a bicycle while riding her bicycle and subsequently transported to a local hospital for medical treatment.,ADMIN/SERVICE/COMPLAINT,Sunday
1/18/2015,2:49 AM,2711 ORCHARD AV,1500192,1/17/2015,12:20 AM,FORCIBLE SEX OFFENSE,A student reported that she was possibly sexually assaulted.,SEXUAL ASSAULT,Sunday
1/18/2015,12:47 AM,30TH ST & UNIVERSITY AV,1500193,1/16/2015,2:38 AM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Saturday
1/18/2015,2:55 PM,UNIVERSITY GATEWAY APARTMENTS,1500194,1/17/2015,12:30 AM,TRAFFIC,"A student drove his vehicle into a parked vehicle and a fence, causing unspecified damage.",ADMIN/SERVICE/COMPLAINT,Sunday
1/18/2015,10:35 AM,1152 37TH ST,1500195,1/17/2015,2:55 PM,PROPERTY,A wallet was found at the location and turned in to DPS Lost & Found.,THEFT,Sunday
1/19/2015,4:56 PM,ADAMS BL & ELLENDALE PL,1500196,1/17/2015,4:30 AM,SERVICE,A non-USC male was transported to a local hospital after sustaining a knee injury.,ADMIN/SERVICE/COMPLAINT,Sunday
1/19/2015,8:56 AM,DAVID X. MARKS TOWER,1500198,1/18/2015,11:50 PM,PROPERTY,A student reported her cellular phone missing.,THEFT,Monday
1/19/2015,10:37 AM,DEAN BARTLETT CROMWELL FIELD,1500199,1/18/2015,8:45 AM,PROPERTY,A student reported her passport missing.,THEFT,Monday
1/19/2015,1:00 PM,TROJAN RESIDENCE HALL,1500200,1/18/2015,10:35 AM,PROPERTY,A student reported his bicycle missing.,THEFT,Monday
1/19/2015,1:20 PM,34TH ST & WATT WY,1500201,1/17/2015,1:00 PM,OBSCENE ACTIVITY,A student reported receiving several annoying text messages from an acquaintance.,ADMIN/SERVICE/COMPLAINT,Sunday
1/19/2015,4:42 PM,OUTSIDE USC AREA,1500202,1/18/2015,11:00 AM,VANDALISM,A suspect smashed the rear windshield of a non-USC female's vehicle.,ADMIN/SERVICE/COMPLAINT,Monday
1/19/2015,5:11 PM,INTERNATIONALLY THEMED RESIDENTIAL COLLEGE,1500203,1/17/2015,12:00 AM,BURGLARY,A suspect removed a backpack.,THEFT,Sunday
1/19/2015,4:01 PM,PARKSIDE RESIDENTIAL BUILDING,1500204,1/18/2015,5:00 PM,BURGLARY,A suspect removed a television.,THEFT,Monday
1/19/2015,8:22 PM,SAN PABLO ST & VALLEY BL,1500205,1/19/2015,3:00 PM,SERVICE,A student was treated and released at the scene following an allergic reaction.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/19/2015,5:43 PM,PHI KAPPA PSI,1500206,1/19/2015,3:45 PM,SERVICE,A welfare check was conducted on a student and she was subsequently transported to a local hospital for evaluation.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/19/2015,9:21 PM,PHI KAPPA PSI,1500207,1/19/2015,3:00 PM,PROPERTY,A purse was found at the location and turned in to DPS Lost & Found.,THEFT,Tuesday
1/20/2015,8:57 PM,TROY HALL,1500208,1/19/2015,9:00 PM,SERVICE,A non-USC female was transported to a local hospital for treatment of an unspecified illness.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/20/2015,9:37 AM,PARKING STRUCTURE B,1500209,1/20/2015,9:20 AM,PROPERTY,A wallet was found at the location and turned in to DPS Lost & Found.,THEFT,Wednesday
1/20/2015,11:30 AM,HEALTHCARE CENTER 2,1500210,1/20/2015,11:00 AM,DISTURBANCE,A non-USC male yelled profanities at staff members at the location and knocked over a hand sanitizer stand.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/20/2015,2:27 PM,USC UNIVERSITY HOSPITAL NORRIS TOWER,1500211,1/20/2015,2:27 PM,SERVICE,A non-USC male was transported to a local hospital for medical treatment after suffering a possible heart attack.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/20/2015,2:48 PM,GENERAL WILLIAM LYON UNIVERSITY CENTER,1500212,1/20/2015,2:48 PM,SERVICE,A student was treated and released at the scene after experiencing dizziness and feeling faint.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/20/2015,3:40 PM,UNIVERSITY GATEWAY APARTMENTS,1500213,12/13/2014,12:00 PM,PROPERTY,A student reported a package missing.,THEFT,Sunday
1/20/2015,3:05 PM,PARKING STRUCTURE C,1500214,1/20/2015,8:00 AM,TRAFFIC,A student's vehicle was immobilized for displaying an altered USC parking pass.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/20/2015,3:25 PM,HARLYNE J. NORRIS RESEARCH TOWER,1500215,1/20/2015,10:00 AM,SERVICE,"A staff member was transported to a local hospital for medical treatment after experiencing nausea, dizziness and difficulty breathing.",ADMIN/SERVICE/COMPLAINT,Wednesday
1/20/2015,3:02 PM,OLIN HALL OF ENGINEERING,1500216,1/20/2015,3:02 PM,DISTURBANCE,A student was barred from entering the location due to his disruptive behavior.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/20/2015,5:56 PM,OUTSIDE USC AREA,1500217,1/9/2015,12:00 AM,BATTERY,A student reported that she was battered by another student.,PHYSICAL HARM,Saturday
1/20/2015,7:10 PM,2820 MENLO AV,1500218,1/17/2015,10:00 PM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Sunday
1/20/2015,10:36 PM,30TH ST & ROYAL ST,1500219,1/16/2015,12:01 AM,FORCIBLE SEX OFFENSE,A student was possibly sexually assaulted.,SEXUAL ASSAULT,Saturday
1/20/2015,11:37 PM,PARKING STRUCTURE D,1500220,1/20/2015,7:00 PM,PROPERTY,A wallet was found at the location and turned in to DPS Lost & Found.,THEFT,Wednesday
1/20/2015,11:20 PM,WHICH WICH,1500221,1/20/2015,10:00 PM,PROPERTY,A student reported her bicycle missing.,THEFT,Wednesday
1/20/2015,11:15 PM,THE LORENZO APARTMENTS,1500222,1/20/2015,10:45 PM,THEFT-GRAND,A suspect was arrested for the theft of a student's phone.,THEFT,Wednesday
1/20/2015,10:17 PM,23RD ST & OAK ST,1500223,1/20/2015,10:18 PM,WARRANT,A suspect was arrested and booked for outstanding warrants and possession of a controlled substance.,WARRANT,Wednesday
1/21/2015,1:47 AM,OFF CAMPUS CHECK - AREA B,1500224,1/21/2015,1:55 AM,WARRANT,A suspect was arrested and booked for outstanding warrants.,WARRANT,Thursday
1/21/2015,1:34 AM,ELISABETH VON KLEINSMID MEMORIAL RESIDENCE HALL,1500225,1/21/2015,1:34 AM,ALCOHOL,A student was transported to a local hospital for medical treatment following an alcohol overdose.,SUBSTANCE ABUSE,Thursday
1/21/2015,7:32,JEFFERSON BUILDING,1500226,1/17/2015,12:00 PM,PROPERTY,A wallet was found at the location and turned in to DPS Lost & Found.,THEFT,Sunday
1/21/2015,9:28 AM,PHYSICAL EDUCATION BUILDING,1500227,1/21/2015,9:30 AM,NON-FORCIBLE SEX OFFENSE,Two non-USC juveniles were observed engaged in sexual intercourse inside the location.,SEXUAL ASSAULT,Thursday
1/21/2015,12:08 PM,ANNENBERG HOUSE,1500228,1/15/2015,5:00 PM,PROPERTY,A student reported his bicycle missing.,THEFT,Friday
1/21/2015,11:31 AM,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTITUTE,1500229,12/21/2014,4:55 PM,OBSCENE ACTIVITY,The husband of a patient yelled profanities at a staff member during a phone call.,ADMIN/SERVICE/COMPLAINT,Monday
1/21/2015,1:29 PM,WEBB TOWER,1500230,1/21/2015,1:20 PM,DISTURBANCE,A student was cited to Judicial Affairs for failure to comply with University bike policies.,ADMIN/SERVICE/COMPLAINT,Thursday
1/21/2015,10:46 AM,KAPRIELIAN HALL,1500231,1/21/2015,10:40 AM,DISTURBANCE,A student was cited to Judicial Affairs for disruptive behavior inside an office at the location.,ADMIN/SERVICE/COMPLAINT,Thursday
1/21/2015,11:49 AM,29TH ST & NORMANDIE AV,1500232,1/21/2015,11:49 AM,PROPERTY,A stolen vehicle was recovered near the location.,THEFT,Thursday
1/21/2015,3:01 PM,JOHN MCKAY CENTER,1500233,1/20/2015,2:00 PM,TRAFFIC,A student was struck by a vehicle while riding her bicycle near the location.  The student was not injured.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/21/2015,6:13 PM,RALPHS SUPERMARKET,1500234,1/21/2015,5:30 PM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Thursday
1/21/2015,9:48 PM,23RD ST & FLOWER ST,1500235,1/21/2015,9:30 PM,TRAFFIC,"A student driving his personal vehicle collided with a non-USC female driving her personal vehicle, causing unspecified damage.",ADMIN/SERVICE/COMPLAINT,Thursday
1/22/2015,3:03 AM,UPC PUBLIC SAFETY OFFICE,1500236,1/15/2015,8:00 AM,PROPERTY,A staff member reported his wallet missing.,THEFT,Friday
1/22/2015,5:35 AM,TROJAN RESIDENCE HALL,1500237,1/22/2015,12:00 AM,SERVICE,A student was transported to a local hospital for medical treatment after experiencing abdominal pain.,ADMIN/SERVICE/COMPLAINT,Friday
1/22/2015,11:19 AM,HEALTHCARE CENTER 1,1500243,1/22/2015,11:19 AM,SERVICE,A patient was transported to another unit for undetermined illness.,ADMIN/SERVICE/COMPLAINT,Friday
1/22/2015,11:19 AM,INTERNATIONALLY THEMED RESIDENTIAL COLLEGE,1500244,1/22/2015,10:30 AM,SERVICE,A female student suffered stomach pains and feeling nauseas was transported to a local hospital.,ADMIN/SERVICE/COMPLAINT,Friday
1/22/2015,9:22 AM,TROY HALL,1500246,1/22/2015,9:22 AM,TRESPASS,A resident requested assistance to remove a former roommate.,HEALTH & SAFETY,Friday
1/22/2015,5:21 PM,TROJAN HEIGHTS,1500248,1/20/2015,7:30 PM,THEFT-PETTY,"Unknown suspect used a tool to cut the cable lock of a student's bicycle, and removed the bike from it's location.",THEFT,Wednesday
1/22/2015,6:03 PM,2644 ORCHARD AV,1500249,1/22/2015,9:30 PM,PROPERTY,A student reported his bicycle missing.,THEFT,Friday
1/22/2015,5:59 PM,RAY R. IRANI HALL,1500250,1/21/2015,5:00 PM,THEFT-GRAND,Unknown suspect removed a female student's unattended and unsecured laptop from a table top.,THEFT,Thursday
1/22/2015,6:35 PM,GENERAL WILLIAM LYON UNIVERSITY CENTER,1500251,1/22/2015,6:34 PM,SERVICE,A student fell and injured his left elbow while playing basketball. The student was transported to a local hospital.,ADMIN/SERVICE/COMPLAINT,Friday
1/22/2015,7:25 PM,MCKIBBEN ADDITION,1500252,1/22/2015,6:45 AM,THEFT-GRAND PERSON,A former friend of a staff member took the staff member's cell phone from her purse without permission.,THEFT,Friday
1/22/2015,8:17 PM,DEAN BARTLETT CROMWELL FIELD,1500253,1/22/2015,6:30 PM,SERVICE,"While running and playing ball, a juvenile suffered severe pain in his right calf. The juvenile was transported to a nearby medical facility.",ADMIN/SERVICE/COMPLAINT,Friday
1/22/2015,8:27 PM,WALLIS ANNENBERG HALL,1500254,1/22/2015,8:15 PM,THEFT-PETTY,Unknown suspect removed a wallet from a student's unsecured and unattended purse.,THEFT,Friday
1/22/2015,8:49 PM,MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER,1500255,1/22/2015,6:30 PM,PROPERTY,A student reported his laptop missing.,THEFT,Friday
1/22/2015,11:25 PM,RAY & NADINE WATT HALL OF ARCHITECTURE & FINE ARTS,1500256,1/22/2015,6:00 PM,IDENTITY THEFT,Unknown suspect obtained a female student's wallet and used her debit card to purchase gas at a gas station in LA.,THEFT,Friday
1/22/2015,11:32 PM,RAY & NADINE WATT HALL OF ARCHITECTURE & FINE ARTS,1500257,1/22/2015,4:00 PM,THEFT-PETTY,Unknown suspect removed a student's unsecured and unattended wallet from a table top.,THEFT,Friday
1/23/2015,12:30 AM,KECK HOSPITAL OF USC,1500258,1/22/2015,9:30 PM,SERVICE,Unknown person defecated on the mens restroom floor.,ADMIN/SERVICE/COMPLAINT,Friday
1/23/2015,12:09 AM,29TH ST & VERMONT AV,1500259,1/22/2015,8:30 PM,THEFT-PETTY,A male suspect was arrested for possession of a student's bicycle.,THEFT,Friday
1/23/2015,3:00 AM,PARKSIDE APARTMENTS I,1500260,1/30/2015,2:00 AM,PROPERTY,A student did not recall where she placed her cell phone.,THEFT,Saturday
1/23/2015,10:05,UNIVERSITY CLUB AT KING STOOPS HALL,1500261,1/23/2015,7:00 AM,PROPERTY,A student reported his bicycle missing.,THEFT,Saturday
1/23/2015,6:40 PM,28TH ST & SEVERANCE ST,1500262,1/23/2015,6:40 PM,TRAFFIC,"A student drove a University vehicle into an unidentified male's parked vehicle, causing minor damage to the University vehicle.",ADMIN/SERVICE/COMPLAINT,Saturday
1/23/2015,6:38 PM,MUSIC PRACTICE AND INSTRUCTIONAL CENTER-USC LEASE,1500263,1/23/2015,6:38 PM,TRESPASS,Four trespassing suspects were removed from a music practice room at the location.,HEALTH & SAFETY,Saturday
1/23/2015,8:44 PM,KECK HOSPITAL OF USC,1500264,1/23/2015,8:15 PM,VANDALISM,A suspect spread feces on a restroom wall inside the location.,ADMIN/SERVICE/COMPLAINT,Saturday
1/23/2015,6:55 PM,UNIVERSITY GATEWAY APARTMENTS,1500265,1/23/2015,6:50 PM,TRAFFIC,A student collided with a vehicle while riding her bicycle near the location.  The student sustained an injury to her leg and stated she would seek medical treatment on her own.,ADMIN/SERVICE/COMPLAINT,Saturday
1/23/2015,9:44 PM,UNIVERSITY GATEWAY APARTMENTS,1500266,1/23/2015,9:00 PM,SERVICE,A student cut her finger while preparing food.  The student was examined and released at the scene.,ADMIN/SERVICE/COMPLAINT,Saturday
1/23/2015,9:27 PM,THOMAS & DOROTHY LEAVEY LIBRARY,1500267,1/23/2015,9:20 PM,SERVICE,A non-USC male was escorted out of the library after causing a disturbance.,ADMIN/SERVICE/COMPLAINT,Saturday
1/23/2015,10:58 PM,SIGMA ALPHA MU,1500268,1/23/2015,10:50 PM,TRAFFIC,"A student backed a University vehicle into a non-USC female's vehicle, causing minor damage to both of them.",ADMIN/SERVICE/COMPLAINT,Saturday
1/23/2015,10:52 PM,PALISADES I,1500270,10/23/2015,10:50 PM,PROPERTY,An unidentified student left a case of beer at the location.,THEFT,Saturday
1/24/2015,1:04 AM,JEFFERSON BL & MCCLINTOCK AV,1500271,1/24/2015,10:30 PM,SERVICE,A suspect removed clothing from a dryer on the third floor and threw it out of a window.,ADMIN/SERVICE/COMPLAINT,Sunday
1/24/2015,10:16 AM,INTERNATIONALLY THEMED RESIDENTIAL COLLEGE,1500272,1/24/2015,10:10 AM,SERVICE,A non-USC female was transported to a local hospital for treatment of a knee injury.,ADMIN/SERVICE/COMPLAINT,Sunday
1/24/2015,2:11 PM,STARDUST APARTMENTS,1500273,1/24/2015,1:00 PM,PROPERTY,A student reported his bicycle missing.,THEFT,Sunday
1/24/2015,10:31 AM,SEELEY G. MUDD BUILDING,1500274,1/24/2015,10:30 AM,EH&S,A student was cited to Judicial Affairs for smoking marijuana.,HEALTH & SAFETY,Sunday
1/24/2015,1:39 PM,2803 MENLO AV,1500275,1/24/2015,1:35 PM,TRAFFIC,A student collided with a vehicle while riding his bicycle near the location.  The student sustained an injury to his knee and stated that he would seek medical treatment on his own.,ADMIN/SERVICE/COMPLAINT,Sunday
1/24/2015,3:57 PM,PISA,1500276,1/24/2015,3:00 PM,THEFT-PETTY,"A suspect removed a jacket, wallet and keys.",THEFT,Sunday
1/24/2015,5:09 PM,956 23RD ST,1500278,1/24/2015,5:09 PM,SERVICE,A student was treated and released at the scene after suffering an allergic reaction.,ADMIN/SERVICE/COMPLAINT,Sunday
1/24/2015,9:42 PM,ADAMS BL & FIGUEROA ST,1500279,1/24/2015,9:35 PM,SERVICE,A student was transported to a local hospital for psychiatric evaluation.,ADMIN/SERVICE/COMPLAINT,Sunday
1/24/2015,11:45 PM,2647 ORCHARD AV,1500280,1/24/2015,12:00 AM,PROPERTY,An abandoned bicycle was found at the location and impounded at the DPS office.,THEFT,Sunday
1/24/2015,11:34 PM,PACIFIC APARTMENTS,1500281,1/24/2015,11:34 PM,ALCOHOL,A student was transported to a local hospital following an alcohol overdose.,SUBSTANCE ABUSE,Sunday
1/25/2015,1:10 AM,36TH PL & VERMONT AV,1500282,1/25/2015,1:00 AM,ALCOHOL,A student was transported to a local hospital following an alcohol overdose.,SUBSTANCE ABUSE,Monday
1/25/2015,1:23 AM,EGG COMPANY II,1500283,1/25/2015,1:20 AM,ALCOHOL,A non-USC male was transported to a local hospital following an alcohol overdose.,SUBSTANCE ABUSE,Monday
1/25/2015,12:33 AM,CARDINAL GARDENS,1500284,1/24/2015,8:00 PM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Sunday
1/25/2015,4:36 AM,922 23RD ST,1500285,1/25/2015,1:04 PM,VANDALISM,Five suspects were detained near the location for a vandalism investigation and subsequently released.,ADMIN/SERVICE/COMPLAINT,Monday
1/25/2015,1:04 PM,3026 FIGUEROA ST,1500286,1/25/2015,12:40 PM,BATTERY,A student was battered by an unknown suspect outside the location.,PHYSICAL HARM,Monday
1/25/2015,12:50 PM,TROY HALL,1500287,1/25/2015,3:20 PM,TRAFFIC,A non-USC male was detained for a reckless driving investigation and subsequently released.,ADMIN/SERVICE/COMPLAINT,Monday
1/25/2015,3:24 PM,MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER,1500288,1/25/2015,1:30 PM,SERVICE,A student was transported to a local hospital for medical treatment after suffering an injury to his genitals.,ADMIN/SERVICE/COMPLAINT,Monday
1/25/2015,3:14 PM,FRESH AND EASY,1500289,1/14/2015,5:40 PM,PROPERTY,A student reported her wallet missing.,THEFT,Thursday
1/25/2015,4:44 PM,RAY & NADINE WATT HALL OF ARCHITECTURE & FINE ARTS,1500290,1/25/2015,1:00 PM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Monday
1/25/2015,5:11 PM,USC UNIVERSITY HOSPITAL NORRIS TOWER,1500291,1/25/2015,6:44 PM,PROPERTY,A student reported her bicycle missing.,THEFT,Monday
1/25/2015,6:44 PM,THOMAS & DOROTHY LEAVEY LIBRARY,1500292,1/25/2015,6:45 PM,SERVICE,A non-USC female was transported to a local hospital for medical treatment after experiencing difficulty breathing.,ADMIN/SERVICE/COMPLAINT,Monday
1/25/2015,6:41 PM,1010 21ST ST,1500293,1/25/2015,9:00 PM,SERVICE,A student was transported to a local hospital for medical treatment for a sore throat.,ADMIN/SERVICE/COMPLAINT,Monday
1/26/2015,8:46 AM,THE MUSIC COMPLEX,1500298,1/26/2015,8:46 AM,FIRE,"The smell of smoke was reported inside the location, but the source could not be located.",HEALTH & SAFETY,Tuesday
1/26/2015,10:40 AM,MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER,1500299,1/26/2015,10:40 AM,SERVICE,A student was transported to a local hospital for medical treatment after fainting twice.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/26/2015,1:35 PM,OUTSIDE USC AREA,1500303,1/26/2015,3:00 PM,PROPERTY,A staff member reported her USC parking permit missing.,THEFT,Tuesday
1/26/2015,2:24 PM,VON KLEINSMID CENTER FOR INTERNATIONAL & PUBLIC AF,1500304,1/26/2015,12:00 PM,PROPERTY,A student reported his bicycle missing,THEFT,Tuesday
1/26/2015,1:26 PM,PERTUSATI UNIVERSITY BOOKSTORE,1500305,1/26/2015,1:20 PM,DISTURBANCE,Two suspects were ordered to leave campus after they were reported to have been taking pictures of female students without permission,ADMIN/SERVICE/COMPLAINT,Tuesday
1/26/2015,3:33 PM,VIRGINIA RAMO HALL OF MUSIC,1500306,1/14/2015,12:30 PM,THEFT-PETTY,A suspect removed currency.,THEFT,Thursday
1/26/2015,4:01 PM,KECK HOSPITAL PARKING BLDG.,1500307,1/26/2015,4:01 PM,SERVICE,A non-USC was treated within the facility after experiencing dizziness.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/26/2015,4:52 PM,PARKING STRUCTURE C,1500308,1/26/2015,12:00 PM,TRAFFIC,A student's vehicle was immobilized for displaying a stolen USC parking permit.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/26/2015,6:26 PM,PARKING STRUCTURE A,1500309,1/26/2015,5:00 PM,PROPERTY,A staff member reported a department issued flashlight missing.,THEFT,Tuesday
1/26/2015,8:13 PM,2701 MENLO AV,1500310,1/16/2015,8:10 PM,SERVICE,A student was transported to a local hospital for treatment of a shoulder injury,ADMIN/SERVICE/COMPLAINT,Saturday
1/26/2015,8:31 PM,KECK HOSPITAL OF USC,1500311,1/26/2015,12:00 PM,THEFT-GRAND,A suspect removed a backpack.,THEFT,Tuesday
1/26/2015,4:10 PM,OUTSIDE USC AREA,1500312,1/26/2015,3:56 PM,TRAFFIC,"A staff member driving a University tram collided with a MTA bus, causing minor damage.",ADMIN/SERVICE/COMPLAINT,Tuesday
1/26/2015,9:55 PM,CAROL LITTLE BUILDING,1500313,1/26/2015,1:49 PM,FRAUD,A suspect made an unauthorized purchase on a staff member's debit card account.,NON-PHYSICAL,Tuesday
1/27/2015,12:49 AM,3016 SHRINE PL,1500315,1/27/2015,12:45 AM,NARCOTICS,A suspect was arrested for possession of methamphetamine.,SUBSTANCE ABUSE,Wednesday
1/27/2015,8:19 AM,UPC PUBLIC SAFETY OFFICE,1500316,1/27/2015,4:15 PM,PROPERTY,A University key was broken.,THEFT,Wednesday
1/27/2015,9:47 AM,HEALTHCARE CENTER 2,1500317,1/27/2015,9:47 AM,SERVICE,A non-USC female was transported to a local hospital for medical treatment after experiencing chest pains.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,10:00 AM,LAIRD J. STABLER MEMORIAL HALL,1500318,1/27/2015,10:07 AM,THEFT-PETTY,A suspect removed a laptop computer.,THEFT,Wednesday
1/27/2015,8:44 AM,33RD ST & GRAND AV,1500319,1/27/2015,8:44 AM,PROPERTY,An abandoned stolen vehicle was recovered near the location.,THEFT,Wednesday
1/27/2015,10:11 AM,VON KLEINSMID CENTER FOR INTERNATIONAL & PUBLIC AF,1500320,1/27/2015,10:11 AM,SERVICE,A student was transported to a local hospital for treatment of flu like symptoms.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,11:08 AM,CARSON TELEVISION CENTER,1500321,1/27/2015,10:30 AM,SERVICE,A student was transported to a local hospital for treatment of an unspecified illness.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,2:22 PM,DUNES APTS.,1500322,12/20/2014,8:00 PM,PROPERTY,A student reported her bicycle missing.,THEFT,Sunday
1/27/2015,2:53 PM,PARKING STRUCTURE C,1500323,1/27/2015,2:30 PM,TRAFFIC,A staff member's vehicle was immobilized for displaying a stolen USC parking permit.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,2:02 PM,KECK HOSPITAL OF USC,1500324,1/27/2014,2:02 PM,SERVICE,A non-USC male was treated at the facility after experiencing dizziness.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/27/2015,4:11 PM,GWYNN WILSON STUDENT UNION,1500325,1/26/2015,2:00 PM,PROPERTY,A student reported her bicycle missing.,THEFT,Tuesday
1/27/2015,3:28 PM,1167 37TH ST,1500326,1/27/2015,3:20 PM,DISORDERLY CONDUCT,"A suspect was reported to be prowling in a bike rack at the location, but could not be located.",ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,2:56 PM,H. LESLIE HOFFMAN HALL OF BUSINESS ADMINISTRATION,1500327,1/27/2015,2:55 PM,SERVICE,A faculty member was transported to SHC for treatment of a head injury.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,6:22 PM,DELTA GAMMA,1500328,1/27/2015,6:20 PM,SERVICE,A non-USC female was transported to a local hospital for medical treatment after falling down some stairs.,ADMIN/SERVICE/COMPLAINT,Wednesday
1/27/2015,8:40 PM,CHIPOTLE MEXICAN GRILL,1500329,1/27/2015,7:50 PM,THEFT-PETTY,A suspect removed a backpack.,THEFT,Wednesday
1/27/2015,9:07 PM,PARKING STRUCTURE D,1500330,1/27/2015,8:50 PM,PROPERTY,The roof of a non-USC male's truck was scraped by a ceiling beam inside the location.,THEFT,Wednesday
1/27/2015,5:34 PM,THE LORENZO APARTMENTS,1500331,1/27/2015,2:30 PM,CRIMINAL THREATS,A student reported that he was threatened by another resident at the location.,NON-PHYSICAL,Wednesday
1/28/2015,1:16 AM,1204 ADAMS BL,1500332,1/28/2015,6:00 PM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Thursday
1/28/2015,3:40 AM,SUBWAY,1500333,1/28/2015,3:40 AM,VEHICLE CODE,A suspect was arrested for driving a non-USC male's vehicle without consent.,ADMIN/SERVICE/COMPLAINT,Thursday
1/28/2015,1:38 PM,HEALTHCARE CENTER 2,1500334,1/28/2015,1:27 PM,SERVICE,A staff member was transported to a local hospital for treatment of high blood pressure.,ADMIN/SERVICE/COMPLAINT,Thursday
1/28/2015,12:39 PM,COLLEGE RESIDENCE HALL,1500335,1/28/2015,10:00 AM,PROPERTY,A staff member reported ten bricks missing from a walkway outside the location.,THEFT,Thursday
1/28/2015,2:12 PM,OUTSIDE USC AREA,1500336,1/28/2015,6:00 PM,PROPERTY,A staff member reported a USC parking permit missing.,THEFT,Thursday
1/28/2015,1:22 PM,ROGER AND MICHELE DEDEAUX ENGEMANN STUDENT HEALTH CENTER,1500337,1/28/2015,1:22 PM,SERVICE,A non-USC female was treated for an adverse reaction to pain medication and released at the scene.,ADMIN/SERVICE/COMPLAINT,Thursday
1/28/2015,3:22 PM,VIVIAN HALL OF ENGINEERING,1500338,1/28/2015,2:00 PM,PROPERTY,A student reported his bicycle missing.,THEFT,Thursday
1/28/2015,4:21 PM,RONALD TUTOR HALL OF ENGINEERING,1500340,1/28/2015,4:21 PM,SERVICE,A student was transported to a local hospital for medical treatment after suffering a seizure.,ADMIN/SERVICE/COMPLAINT,Thursday
1/28/2015,4:48 PM,ELVON & MABEL MUSICK LAW BUILDING,1500341,1/28/2015,10:30 AM,PROPERTY,A student reported his bicycle missing.,THEFT,Thursday
1/28/2015,4:16 PM,36TH ST & CATALINA ST,1500342,1/28/2015,1:00 PM,ROBBERY,A student was robber by force near the location.,THEFT,Thursday
